antecedents,consequents,support,confidence,lift,leverage,conviction
General Theoretical Chemistry,Experimental General Chemistry,0.010660980810234541,0.5676855895196506,25.393830075578208,0.010241155176271296,2.261420668883355
Experimental General Chemistry,General Theoretical Chemistry,0.010660980810234541,0.47688921496698455,25.393830075578208,0.010241155176271296,1.8757408570789071
Physics 1,Experimental Physics 1,0.02110874200426439,0.591996320147194,21.471752313726604,0.02012564841712526,2.3833830710170543
Experimental Physics 1,Physics 1,0.02110874200426439,0.7656157049375371,21.4717523137266,0.02012564841712526,4.114367472061234
Calculus 2,Introduction Linear Algebra,0.01776283418074463,0.4893809308630818,13.712111835809788,0.01646742218342149,1.888512150905494
Introduction Linear Algebra,Calculus 2,0.01776283418074463,0.497702205882353,13.712111835809788,0.01646742218342149,1.9185898723908585
Introduction Linear Algebra,Experimental Physics 1,0.011858290962768575,0.3322610294117647,12.051133232144732,0.010874292965705676,1.4563011989807813
Experimental Physics 1,Introduction Linear Algebra,0.011858290962768575,0.4301011302795955,12.051133232144732,0.010874292965705676,1.6920726953226253
Introduction Linear Algebra,Physics 1,0.014695752009184845,0.4117647058823529,11.547973375182638,0.013423169233685294,1.6393833032639002
Physics 1,Introduction Linear Algebra,0.014695752009184845,0.4121435142594296,11.547973375182638,0.013423169233685294,1.6403839031125136
Introduction To Political Science,Introduction To Economy,0.01610628177792357,0.5901442307692308,11.223048580786028,0.0146711742256407,2.3115857661837445
Introduction To Economy,Introduction To Political Science,0.01610628177792357,0.30630068621335,11.223048580786028,0.0146711742256407,1.402203908514979
Calculus 1,Algorithms And Computer Programming,0.015122191241594227,0.23781274181067838,10.984426415300803,0.013745497487195755,1.2836084540759136
Algorithms And Computer Programming,Calculus 1,0.015122191241594227,0.6984848484848485,10.984426415300803,0.013745497487195755,3.1056858839053394
Introduction To Political Science,Introduction To Sociology,0.010529768738723962,0.3858173076923077,10.358115918097754,0.009513196919873557,1.5675338710417719
Introduction To Sociology,Introduction To Political Science,0.010529768738723962,0.2826948480845442,10.358115918097752,0.009513196919873557,1.3560586962582508
Calculus 2,Physics 1,0.012104313596850911,0.333483958427474,9.35258369150096,0.010810092235554722,1.4468415753232349
Physics 1,Calculus 2,0.012104313596850911,0.33946642134314625,9.35258369150096,0.010810092235554722,1.45897724484803
Experimental Physics 1,Calculus 1,0.014466130884041332,0.5246876859012493,8.251278877843479,0.012712932246811155,1.970096970072686
Calculus 1,Experimental Physics 1,0.014466130884041332,0.22749548620067064,8.251278877843479,0.012712932246811155,1.2588004938524462
Calculus 1,Physics 1,0.01666393308184353,0.2620582924941966,7.349445305138531,0.014396560186341802,1.306801214456924
Physics 1,Calculus 1,0.01666393308184353,0.46734130634774607,7.34944530513853,0.014396560186341802,1.7579950557523831
Introduction To Sociology,Introduction To Economy,0.011038215515827456,0.2963452223690004,5.635735560772911,0.00907960418696063,1.3464226954186418
Introduction To Economy,Introduction To Sociology,0.011038215515827456,0.20991890205864003,5.635735560772911,0.00907960418696063,1.2185485461030359
Introduction Linear Algebra,Calculus 1,0.01016893554206987,0.2849264705882353,4.480775576931831,0.007899476746940266,1.3095315535096068
